zip,amt,cont_cnt,state_id
501,0.0,0,NY
544,0.0,0,NY
601,0.0,0,PR
602,914.0,28,PR
603,960.0,20,PR
604,0.0,0,PR
605,370.0,5,PR
606,250.0,1,PR
610,427.0,3,PR
611,22.0,1,PR
612,0.0,0,PR
613,0.0,0,PR
614,0.0,0,PR
616,0.0,0,PR
617,0.0,0,PR
622,0.0,0,PR
623,30.0,2,PR
624,825.0,29,PR
627,85.0,13,PR
631,329.0,33,PR
636,0.0,0,PR
637,0.0,0,PR
638,0.0,0,PR
641,0.0,0,PR
646,2335.0,13,PR
647,0.0,0,PR
650,0.0,0,PR
652,0.0,0,PR
653,2000.0,2,PR
656,0.0,0,PR
659,840.0,27,PR
660,0.0,0,PR
662,40.0,4,PR
664,0.0,0,PR
667,431.0,19,PR
669,0.0,0,PR
670,0.0,0,PR
674,4220.0,21,PR
676,0.0,0,PR
677,1766.0,8,PR
678,122.0,3,PR
680,0.0,0,PR
681,725.0,7,PR
682,537.0,8,PR
683,52.0,2,PR
685,2000.0,1,PR
687,0.0,0,PR
688,0.0,0,PR
690,0.0,0,PR
692,0.0,0,PR
693,241.0,2,PR
694,0.0,0,PR
698,627.0,4,PR
703,5600.0,2,PR
704,0.0,0,PR
705,3000.0,2,PR
707,0.0,0,PR
714,0.0,0,PR
715,9280.0,9,PR
716,188.0,10,PR
717,1000.0,1,PR
718,1913.0,130,PR
719,1779.0,66,PR
720,0.0,0,PR
721,0.0,0,PR
723,75.0,3,PR
725,2172.0,15,PR
726,1633.0,46,PR
727,9875.0,13,PR
728,0.0,0,PR
729,675.0,8,PR
730,3653.0,40,PR
731,0.0,0,PR
732,0.0,0,PR
733,2700.0,2,PR
734,0.0,0,PR
735,5.0,1,PR
736,97.0,8,PR
737,0.0,0,PR
738,3830.0,26,PR
739,1035.0,3,PR
740,0.0,0,PR
741,0.0,0,PR
742,0.0,0,PR
744,0.0,0,PR
745,22188.0,8,PR
751,1518.0,20,PR
754,0.0,0,PR
757,480.0,10,PR
765,3120.0,8,PR
766,0.0,0,PR
767,1133.0,28,PR
769,4052.0,33,PR
771,160.0,6,PR
772,5600.0,2,PR
773,777.0,23,PR
775,6300.0,19,PR
777,1070.0,43,PR
778,5254.0,34,PR
780,0.0,0,PR
782,0.0,0,PR
783,2026.0,6,PR
784,0.0,0,PR
785,0.0,0,PR
786,0.0,0,PR
791,1000.0,1,PR
792,0.0,0,PR
794,0.0,0,PR
795,480.0,12,PR
801,4080.0,40,VI
802,7442.0,37,VI
803,2385.0,29,VI
804,11979.0,49,VI
805,0.0,0,VI
820,20972.0,100,VI
821,0.0,0,VI
822,459.0,23,VI
823,0.0,0,VI
824,5268.0,12,VI
830,1485.0,38,VI
831,3250.0,19,VI
840,5521.0,8,VI
841,0.0,0,VI
850,1500.0,2,VI
851,640.0,38,VI
901,22800.0,13,PR
902,1800.0,5,PR
906,0.0,0,PR
907,30640.0,61,PR
908,12600.0,8,PR
909,1100.0,4,PR
910,84.0,2,PR
911,34388.0,95,PR
912,16.0,2,PR
913,250.0,1,PR
914,2000.0,1,PR
915,200.0,1,PR
916,0.0,0,PR
917,5050.0,5,PR
918,40706.0,84,PR
919,4000.0,4,PR
920,25289.0,20,PR
921,1755.0,94,PR
922,11300.0,4,PR
923,6623.0,85,PR
924,0.0,0,PR
925,0.0,0,PR
926,21572.0,123,PR
927,21900.0,8,PR
928,4000.0,3,PR
929,2700.0,1,PR
930,44.0,3,PR
931,1392.0,12,PR
933,0.0,0,PR
934,0.0,0,PR
935,0.0,0,PR
936,10885.0,27,PR
937,340.0,2,PR
939,0.0,0,PR
940,0.0,0,PR
949,41.0,3,PR
950,5600.0,1,PR
951,0.0,0,PR
952,140.0,4,PR
953,1000.0,1,PR
954,0.0,0,PR
955,0.0,0,PR
956,4502.0,13,PR
957,8.0,2,PR
958,0.0,0,PR
959,43.0,10,PR
960,1260.0,15,PR
961,0.0,0,PR
962,0.0,0,PR
963,0.0,0,PR
965,0.0,0,PR
966,11566.0,63,PR
968,7739.0,123,PR
969,17924.0,54,PR
970,372.0,9,PR
971,1800.0,8,PR
975,0.0,0,PR
976,3427.0,27,PR
977,0.0,0,PR
978,100.0,1,PR
979,7477.0,102,PR
981,0.0,0,PR
982,285.0,2,PR
983,150.0,3,PR
984,750.0,1,PR
985,385.0,18,PR
986,0.0,0,PR
987,2797.0,31,PR
988,0.0,0,PR
1001,9316.0,55,MA
1002,84270.0,1124,MA
1003,948.0,25,MA
1004,7505.0,13,MA
1005,5708.0,223,MA
1007,9132.0,122,MA
1008,233.0,15,MA
1009,969.0,4,MA
1010,135.0,5,MA
1011,30.0,2,MA
1012,305.0,7,MA
1013,2686.0,118,MA
1014,100.0,1,MA
1020,5699.0,144,MA
1021,0.0,0,MA
1022,2782.0,184,MA
1026,4267.0,19,MA
1027,10496.0,111,MA
1028,18359.0,168,MA
1029,1390.0,7,MA
1030,5009.0,63,MA
1031,10.0,1,MA
1032,320.0,5,MA
1033,1662.0,26,MA
1034,27558.0,1613,MA
1035,8349.0,138,MA
1036,10076.0,126,MA
1037,401.0,27,MA
1038,12374.0,240,MA
1039,37119.0,363,MA
1040,10101.0,165,MA
1041,250.0,2,MA
1050,3466.0,118,MA
1053,19144.0,142,MA
1054,18845.0,265,MA
1056,11307.0,176,MA
1057,584.0,16,MA
1059,150.0,6,MA
1060,85397.0,976,MA
1061,26450.0,6,MA
1062,116411.0,533,MA
1063,0.0,0,MA
1066,0.0,0,MA
1068,1065.0,12,MA
1069,6029.0,55,MA
1070,2564.0,41,MA
1071,560.0,14,MA
1072,15055.0,146,MA
1073,9422.0,110,MA
1074,0.0,0,MA
1075,66689.0,680,MA
1077,20202.0,137,MA
1079,846.0,18,MA
1080,300.0,1,MA
1081,1604.0,16,MA
1082,2908.0,91,MA
1083,2824.0,116,MA
1084,359.0,8,MA
1085,16413.0,116,MA
1086,1125.0,9,MA
1088,25.0,1,MA
1089,6927.0,110,MA
1090,10.0,1,MA
1092,1396.0,14,MA
1093,3682.0,66,MA
1094,0.0,0,MA
1095,23596.0,207,MA
1096,5007.0,36,MA
1097,0.0,0,MA
1098,1419.0,67,MA
1101,610.0,3,MA
1102,0.0,0,MA
1103,1167.0,33,MA
1104,2940.0,21,MA
1105,2635.0,4,MA
1106,23765.0,135,MA
1107,1500.0,10,MA
1108,7967.0,86,MA
1109,2734.0,640,MA
1111,0.0,0,MA
1115,10000.0,1,MA
1116,0.0,0,MA
1118,3416.0,70,MA
1119,2106.0,42,MA
1128,0.0,0,MA
1129,1412.0,16,MA
1133,0.0,0,MA
1138,0.0,0,MA
1139,0.0,0,MA
1144,2000.0,15,MA
1151,2767.0,119,MA
1152,0.0,0,MA
1195,1000.0,1,MA
1199,0.0,0,MA
1201,31787.0,648,MA
1202,250.0,1,MA
1203,500.0,1,MA
1220,5301.0,27,MA
1222,0.0,0,MA
1223,4890.0,237,MA
1224,185.0,8,MA
1225,1045.0,19,MA
1226,1271.0,21,MA
1227,250.0,1,MA
1229,0.0,0,MA
1230,115411.0,443,MA
1235,2250.0,63,MA
1236,10175.0,90,MA
1237,7815.0,29,MA
1238,10636.0,247,MA
1240,52884.0,290,MA
1242,25.0,1,MA
1243,1136.0,26,MA
1244,2042.0,28,MA
1245,1854.0,39,MA
1247,1250.0,67,MA
1252,0.0,0,MA
1253,4140.0,8,MA
1254,6869.0,83,MA
1255,220.0,9,MA
1256,0.0,0,MA
1257,18957.0,109,MA
1258,6917.0,52,MA
1259,26055.0,16,MA
1260,735.0,9,MA
1262,2386.0,47,MA
1263,0.0,0,MA
1264,8095.0,89,MA
1266,17753.0,143,MA
1267,94480.0,838,MA
1270,0.0,0,MA
1301,16260.0,220,MA
1302,2123.0,47,MA
1330,4199.0,134,MA
1331,1266.0,29,MA
1337,3885.0,60,MA
1338,1662.0,5,MA
1339,5009.0,73,MA
1340,1335.0,22,MA
1341,6903.0,51,MA
1342,2567.0,86,MA
1343,0.0,0,MA
1344,2198.0,43,MA
1346,0.0,0,MA
1347,458.0,9,MA
1349,11.0,2,MA
1350,0.0,0,MA
1351,20894.0,205,MA
1354,2101.0,8,MA
1355,287.0,15,MA
1360,3437.0,37,MA
1364,1624.0,27,MA
1366,8011.0,50,MA
1367,532.0,23,MA
1368,878.0,32,MA
1370,7653.0,141,MA
1373,6352.0,86,MA
1375,8935.0,84,MA
1376,232.0,16,MA
1378,1225.0,25,MA
1379,7528.0,117,MA
1380,15.0,1,MA
1420,6276.0,106,MA
1430,4385.0,60,MA
1431,1078.0,22,MA
1432,13313.0,248,MA
1434,3650.0,27,MA
1436,3980.0,87,MA
1438,800.0,2,MA
1440,11374.0,66,MA
1441,0.0,0,MA
1450,31097.0,211,MA
1451,15002.0,115,MA
1452,2475.0,28,MA
1453,12751.0,160,MA
1460,16815.0,166,MA
1462,2010.0,45,MA
1463,26369.0,195,MA
1464,5922.0,28,MA
1467,5725.0,3,MA
1468,5503.0,62,MA
1469,7633.0,106,MA
1470,0.0,0,MA
1471,0.0,0,MA
1472,0.0,0,MA
1473,4189.0,42,MA
1474,580.0,10,MA
1475,1179.0,97,MA
1477,0.0,0,MA
1501,7717.0,108,MA
1503,2426.0,23,MA
1504,795.0,38,MA
1505,5881.0,32,MA
1506,140.0,3,MA
1507,7463.0,40,MA
1508,0.0,0,MA
1509,0.0,0,MA
1510,5372.0,137,MA
1515,25.0,1,MA
1516,7130.0,175,MA
1517,0.0,0,MA
1518,3139.0,35,MA
1519,14643.0,190,MA
1520,19911.0,172,MA
1521,260.0,4,MA
1522,1226.0,32,MA
1523,3709.0,39,MA
1524,909.0,11,MA
1525,0.0,0,MA
1526,0.0,0,MA
1527,5748.0,61,MA
1529,1064.0,34,MA
1531,481.0,7,MA
1532,15680.0,176,MA
1534,1845.0,23,MA
1535,420.0,27,MA
1536,4324.0,42,MA
1537,1578.0,45,MA
1538,749.0,21,MA
1540,2866.0,44,MA
1541,1436.0,13,MA
1542,2251.0,15,MA
1543,4217.0,91,MA
1545,30120.0,266,MA
1546,0.0,0,MA
1550,2847.0,34,MA
1560,1320.0,24,MA
1561,711.0,13,MA
1562,3866.0,57,MA
1564,5899.0,98,MA
1566,3272.0,39,MA
1568,6211.0,61,MA
1569,6120.0,99,MA
1570,8412.0,173,MA
1571,1000.0,1,MA
1580,231.0,1,MA
1581,26782.0,182,MA
1582,0.0,0,MA
1583,1502.0,27,MA
1585,2710.0,43,MA
1586,0.0,0,MA
1588,21188.0,201,MA
1590,14447.0,60,MA
1601,0.0,0,MA
1602,10788.0,206,MA
1603,654.0,20,MA
1604,7592.0,78,MA
1605,5646.0,59,MA
1606,5391.0,135,MA
1607,480.0,7,MA
1608,1585.0,39,MA
1609,21445.0,318,MA
1610,1477.0,26,MA
1611,970.0,15,MA
1612,4139.0,111,MA
1613,897.0,26,MA
1614,0.0,0,MA
1615,0.0,0,MA
1653,0.0,0,MA
1654,0.0,0,MA
1655,0.0,0,MA
1701,40656.0,455,MA
1702,21320.0,275,MA
1703,0.0,0,MA
1704,0.0,0,MA
1705,1010.0,3,MA
1718,694.0,13,MA
1719,14596.0,253,MA
1720,121561.0,1248,MA
1721,5273.0,48,MA
1730,53083.0,936,MA
1731,0.0,0,MA
1740,24971.0,1209,MA
1741,103184.0,697,MA
1742,1905645.0,4831,MA
1745,0.0,0,MA
1746,42325.0,317,MA
1747,4665.0,91,MA
1748,71673.0,532,MA
1749,69724.0,521,MA
1752,91617.0,1271,MA
1754,20551.0,320,MA
1756,11487.0,282,MA
1757,11042.0,197,MA
1760,33078.0,506,MA
1770,33976.0,216,MA
1772,23383.0,163,MA
1773,416085.0,2674,MA
1775,7539.0,142,MA
1776,138849.0,990,MA
1778,2744967.0,2133,MA
1784,0.0,0,MA
1801,27846.0,1987,MA
1803,10545.0,175,MA
1805,0.0,0,MA
1806,400.0,8,MA
1807,50.0,1,MA
1808,0.0,0,MA
1810,95289.0,630,MA
1812,0.0,0,MA
1813,0.0,0,MA
1815,0.0,0,MA
1821,13836.0,190,MA
1822,0.0,0,MA
1824,33868.0,478,MA
1826,44804.0,337,MA
1827,16967.0,169,MA
1830,9067.0,147,MA
